place_id,name,opening_hours.weekday_text,permanently_closed,adr_address,url,geometry.location.lng,geometry.location.lat,plus_code.global_code,formatted_address,rating,wheelchair_accessible,user_ratings_total,price_level,address_components,vicinity,plus_code.compound_code,scope,website,business_status,types
ChIJ6TuPWwBN_UYRHBH53uwr1lY,Restauracja Zmysły,,,"<span class=""street-address"">Rybacka 46</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=6257237028631023900,,,,"Rybacka 46, 82-300 Elbląg, Poland",4.6,,1703,2,"[{'long_name': '46', 'short_name': '46', 'types': ['street_number']}, {'long_name': 'Rybacka', 'short_name': 'Rybacka', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Rybacka 46, Elbląg",,,https://zmysly.elblag.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJh-VON6NN_UYRccH6qaqa6Qc,Nobu Sushi,,,"<span class=""street-address"">1 Maja 58h</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=570156885625979249,,,,"1 Maja 58h, 82-300 Elbląg, Poland",4.6,,194,2,"[{'long_name': '58h', 'short_name': '58h', 'types': ['street_number']}, {'long_name': '1 Maja', 'short_name': '1 Maja', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","1 Maja 58h, Elbląg",,,,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJTdAHGF1M_UYR86kK-V1VTY4,Studnia Smaków,,,"<span class=""street-address"">Studzienna 31A</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=10253945788691032563,,,,"Studzienna 31A, 82-300 Elbląg, Poland",4.7,,4522,2,"[{'long_name': '31A', 'short_name': '31A', 'types': ['street_number']}, {'long_name': 'Studzienna', 'short_name': 'Studzienna', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Studzienna 31A, Elbląg",,,http://www.studniasmakow.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJK9BEGTdN_UYRm90uKV_XfZQ,Restauracja Chacha,,,"<span class=""street-address"">Stary Rynek 28</span>/29, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=10699945093414968731,,,,"Stary Rynek 28/29, 82-300 Elbląg, Poland",4.3,,196,,"[{'long_name': '29', 'short_name': '29', 'types': ['subpremise']}, {'long_name': '28', 'short_name': '28', 'types': ['street_number']}, {'long_name': 'Stary Rynek', 'short_name': 'Stary Rynek', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Stary Rynek 28/29, Elbląg",,,https://chacha.com.pl/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ3Tu56FxM_UYRBQMYWwHhFcI,Restauracja Miko Sushi&More,,,"<span class=""street-address"">Rybacka 41</span>/42 / B, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=13985331613808460549,,,,"Rybacka 41/42 / B, 82-300 Elbląg, Poland",4.7,,864,2,"[{'long_name': '42 / B', 'short_name': '42 / B', 'types': ['subpremise']}, {'long_name': '41', 'short_name': '41', 'types': ['street_number']}, {'long_name': 'Rybacka', 'short_name': 'Rybacka', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Rybacka 41/42 / B, Elbląg",,,http://mikosushi.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJd5UlDl1M_UYR5ov8mH9Dagw,Restauracja Propaganda,,,"<span class=""street-address"">Studzienna 21</span>/22e, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=894601691293060070,,,,"Studzienna 21/22e, 82-300 Elbląg, Poland",4.5,,770,2,"[{'long_name': '22e', 'short_name': '22e', 'types': ['subpremise']}, {'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Studzienna', 'short_name': 'Studzienna', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Studzienna 21/22e, Elbląg",,,http://restauracja-propaganda.pl/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJ7yVUkEVL_UYRvTKW-8t6xIE,Słodki Express Firma Usługowo-Handlowa Beata Murawska,,,"<span class=""street-address"">aleja Odrodzenia 21</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=9350733742845866685,,,,"aleja Odrodzenia 21, 82-300 Elbląg, Poland",4.5,,2,,"[{'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'aleja Odrodzenia', 'short_name': 'aleja Odrodzenia', 'types': ['route']}, {'long_name': 'Zawada', 'short_name': 'Zawada', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","aleja Odrodzenia 21, Elbląg",,,https://m.facebook.com/pages/category/Restaurant/Restauracja-Czw%C3%B3rka-112510024420396/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJw0WiKIhM_UYRqHaaTkJixgg,Restauracja Stara Karczma,,,"<span class=""street-address"">Romualda Traugutta 48</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=632300834618242728,,,,"Romualda Traugutta 48, 82-300 Elbląg, Poland",4.5,,2154,2,"[{'long_name': '48', 'short_name': '48', 'types': ['street_number']}, {'long_name': 'Romualda Traugutta', 'short_name': 'Romualda Traugutta', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Romualda Traugutta 48, Elbląg",,,https://www.starakarczma.elblag.pl/,OPERATIONAL,"['meal_delivery', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJtXwci2dM_UYR-sPTSBB9sj8,Poliszynel. PHU. Bufet. Wyszyński J.,,,"<span class=""street-address"">Stoczniowa 2</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=4589868479138743290,,,,"Stoczniowa 2, 82-300 Elbląg, Poland",4.0,,2,,"[{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Stoczniowa', 'short_name': 'Stoczniowa', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Stoczniowa 2, Elbląg",,,,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJlRiHMl5M_UYRU9fj05P5pyA,Sąsiedzi,,,"<span class=""street-address"">1 Maja 48</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=2353123743634806611,,,,"1 Maja 48, 82-300 Elbląg, Poland",4.3,,550,1,"[{'long_name': '48', 'short_name': '48', 'types': ['street_number']}, {'long_name': '1 Maja', 'short_name': '1 Maja', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","1 Maja 48, Elbląg",,,http://www.pubsasiedzi.pl/,OPERATIONAL,"['restaurant', 'meal_takeaway', 'bar', 'point_of_interest', 'food', 'establishment']"
ChIJMxsqmHhM_UYRh5DSy2XaEkc,Pizzeria La Capra,,,"<span class=""street-address"">Pomorska 40</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=5121395857019801735,,,,"Pomorska 40, 82-300 Elbląg, Poland",4.4,,1114,2,"[{'long_name': '40', 'short_name': '40', 'types': ['street_number']}, {'long_name': 'Pomorska', 'short_name': 'Pomorska', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Pomorska 40, Elbląg",,,http://www.la-capra.pl/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJe7V6m2JM_UYRTfwgJjT1nMY,Pizzeria u Benka,,,"<span class=""street-address"">Mikołaja Kopernika 43</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=14311583320203394125,,,,"Mikołaja Kopernika 43, 82-300 Elbląg, Poland",3.8,,449,1,"[{'long_name': '43', 'short_name': '43', 'types': ['street_number']}, {'long_name': 'Mikołaja Kopernika', 'short_name': 'Mikołaja Kopernika', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Mikołaja Kopernika 43, Elbląg",,,http://pizzaubenka.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJV4PwrXlN_UYRQo18CE0l5vs,Restauracja Dom Królów,,,"<span class=""street-address"">Stary Rynek 54-59</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=18151236360948452674,,,,"Stary Rynek 54-59, 82-300 Elbląg, Poland",4.6,,211,,"[{'long_name': '54-59', 'short_name': '54-59', 'types': ['street_number']}, {'long_name': 'Stary Rynek', 'short_name': 'Stary Rynek', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Stary Rynek 54-59, Elbląg",,,https://domkrolow.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ9Uyr-2ZM_UYRY44XLDupwm8,7 Street - Bar & Grill - Elbląg,,,"<span class=""street-address"">Odzieżowa 12</span>, <span class=""postal-code"">82-300</span> <span class=""locality"">Elbląg</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=8053185155299774051,,,,"Odzieżowa 12, 82-300 Elbląg, Poland",3.7,,290,2,"[{'long_name': '12', 'short_name': '12', 'types': ['street_number']}, {'long_name': 'Odzieżowa', 'short_name': 'Odzieżowa', 'types': ['route']}, {'long_name': 'Elbląg', 'short_name': 'Elbląg', 'types': ['locality', 'political']}, {'long_name': 'Powiat Elbląg', 'short_name': 'Powiat Elbląg', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo warmińsko-mazurskie', 'short_name': 'Województwo warmińsko-mazurskie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '82-300', 'short_name': '82-300', 'types': ['postal_code']}]","Odzieżowa 12, Elbląg",,,http://www.7street.pl/,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
